"filename", "language", "TypeScript", "TypeScript React", "CSS", "comment", "blank", "total"
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/mediator/state/chat_prep_state.ts", "TypeScript", 135, 0, 0, 0, 5, 140
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/mediator/state/chat_state.ts", "TypeScript", 158, 0, 0, 17, 11, 186
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/mediator/state/starting_state.ts", "TypeScript", 87, 0, 0, 3, 15, 105
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/mediator/state/state.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/mediator/state_gui_mediator/state_gui_mediator.ts", "TypeScript", 187, 0, 0, 2, 18, 207
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/mediator/websocket/consumed_msgs.ts", "TypeScript", 20, 0, 0, 0, 2, 22
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/mediator/websocket/msg_buffer.ts", "TypeScript", 13, 0, 0, 0, 6, 19
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/mediator/websocket/msg_model.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/mediator/websocket/websocket_connection.ts", "TypeScript", 82, 0, 0, 3, 7, 92
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/pages/AuthPage.tsx", "TypeScript React", 0, 41, 0, 0, 4, 45
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/pages/ChatPage.css", "CSS", 0, 0, 9, 1, 4, 14
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/pages/ChatPage.tsx", "TypeScript React", 0, 95, 0, 42, 14, 151
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/pages/LoginPage.tsx", "TypeScript React", 0, 62, 0, 0, 9, 71
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/pages/SignUpPage.tsx", "TypeScript React", 0, 81, 0, 0, 11, 92
"/Users/dany88gwabry/Documents/nodeJS/react-chatapp_p5_v2/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"Total", "-", 1321, 465, 54, 116, 275, 2231
